Facility_ID,Facility_Name,Facility_Type,Facility_Subtype,Indoor_Outdoor,Ownership_Type,Ownership_flag,address,google_type,google_latitude,google_longitude
215,Sunset Arena,Ice,Single surface,Indoor,Public,,"390 E 51ST AVE, VANCOUVER, BC",ROOFTOP,49.2231447,-123.0980992
216,Kerrisdale Cyclone Taylor Arena,Ice,Single surface,Indoor,Public,,"5670 EAST BLVD, VANCOUVER, BC",ROOFTOP,49.2353056,-123.1539567
218,UBC Tennis Centre,Physical Recreation & Sports,Tennis and/or pickleball courts ,Both,Public,,"6160 THUNDERBIRD BLVD, VANCOUVER, BC",ROOFTOP,49.2599145,-123.2443866
219,The Arbutus Club,Aquatics,25m pool with or without other pools,Indoor,Private,,"2001 NANTON AVE, VANCOUVER, BC",ROOFTOP,49.2487192,-123.1517219
226,Stan Stronge Pool,Aquatics,25m pool with or without other pools,Indoor,Public,,"719 W 59TH AVE, VANCOUVER, BC",ROOFTOP,49.2176892,-123.121079
227,Aquatics at the JCCGV,Aquatics,25m pool with or without other pools,Indoor,Public,1.0,"950 W 41ST AVE, VANCOUVER, BC",ROOFTOP,49.23344280000001,-123.1267225
228,Jewish Community Centre of Greater Vancouver,Leisure / Community Centres,General,Indoor,Public,1.0,"950 W 41ST AVE, VANCOUVER, BC",ROOFTOP,49.23344280000001,-123.1267225
231,Aquaventures Swim Centre,Aquatics,25m pool with or without other pools,Indoor,Public,1.0,"1630 W 5TH AVE, VANCOUVER, BC",ROOFTOP,49.2666823,-123.1420412
232,Kerr Pool at St. George's School,Aquatics,25m pool with or without other pools,Indoor,Private,,"4175 W 29TH AVE, VANCOUVER, BC",GEOMETRIC_CENTER,49.2471603,-123.1983488
233,UBC Aquatic Centre,Aquatics,25m pool with or without other pools,Indoor,Public,,"6080 STUDENT UNION BLVD, VANCOUVER, BC",RANGE_INTERPOLATED,49.26844980000001,-123.2497574
234,YWCA Health + Fitness Centre,Aquatics,25m pool with or without other pools,Indoor,Public,,"535 HORNBY ST, VANCOUVER, BC",ROOFTOP,49.2855342,-123.1177823
237,Robert Lee YMCA,Aquatics,25m pool with or without other pools,Indoor,Public,,"955 BURRARD ST, VANCOUVER, BC",ROOFTOP,49.2818276,-123.125498
241,Propel Swimming Lessons,Aquatics,25m pool with or without other pools,Indoor,Private,,"1234 HORNBY ST, VANCOUVER, BC",ROOFTOP,49.2778649,-123.1284885
242,Swim Lessons Vancouver,Aquatics,25m pool with or without other pools,Indoor,Private,,"1088 BURRARD ST, VANCOUVER, BC",ROOFTOP,49.2801681,-123.1271342
243,Roundhouse Community Arts & Recreation Centre,Leisure / Community Centres,General,Indoor,Public,,"181 ROUNDHOUSE MEWS, VANCOUVER, BC",ROOFTOP,49.273368,-123.1217496
244,UBC Student Recreation Centre,Ice,Single surface,Indoor,Private,,"6000 STUDENT UNION BLVD, VANCOUVER, BC",ROOFTOP,49.2683872,-123.2489651
247,Old Barn Community Centre,Leisure / Community Centres,General,Indoor,Private,,"6308 THUNDERBIRD BLVD, VANCOUVER, BC",ROOFTOP,49.2588431,-123.2482067
249,Westbrook Community Centre,Leisure / Community Centres,General,Indoor,Public,1.0,"3335 WEBBER LN, VANCOUVER, BC",ROOFTOP,49.2541076,-123.2375546
252,Langara Family YMCA,Aquatics,25m pool with or without other pools,Indoor,Public,,"282 W 49TH AVE, VANCOUVER, BC",ROOFTOP,49.2255323,-123.1123927
255,Barclay Manor,Leisure / Community Centres,Seniors,Indoor,Public,,"1447 BARCLAY ST, VANCOUVER, BC",ROOFTOP,49.2872096,-123.1325898
257,Collingwood Neighbourhood House,Leisure / Community Centres,General,Indoor,Public,,"5288 JOYCE ST, VANCOUVER, BC",ROOFTOP,49.2366592,-123.0328345
258,Downtown Eastside Neighbourhood House,Leisure / Community Centres,General,Indoor,Public,,"573 E HASTINGS ST, VANCOUVER, BC",ROOFTOP,49.281546,-123.0916505
259,Ajyal Islamic Centre,Leisure / Community Centres,General,Indoor,Public,,"181 KEEFER PL #202, VANCOUVER, BC",,0.0,0.0
260,Gordon Neighbourhood House,Leisure / Community Centres,General,Indoor,Public,,"1019 BROUGHTON ST, VANCOUVER, BC",ROOFTOP,49.2857058,-123.1336593
261,Langara College Gymnasium and Lockers,Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,"100 W 49TH AVE, VANCOUVER, BC",ROOFTOP,49.224025,-123.108032
263,Vancouver Racquets Club,Physical Recreation & Sports,"Racquet courts (squash, racquetball, badminton)",Indoor,Public,,"4867 ONTARIO ST, VANCOUVER, BC",ROOFTOP,49.241338,-123.1061013
265,Vancouver Lawn Tennis & Badminton Club,Aquatics,25m pool with or without other pools,Both,Private,,"1630 W 15TH AVE, VANCOUVER, BC",ROOFTOP,49.2578591,-123.141893
269,Tennis British Columbia,Physical Recreation & Sports,Tennis and/or pickleball courts ,Indoor,Private,,"112 E 3RD AVE, VANCOUVER, BC",ROOFTOP,49.2679414,-123.1023448
270,Jericho Tennis Club,Physical Recreation & Sports,"Racquet courts (squash, racquetball, badminton)",Indoor,Private,,"3837 POINT GREY RD, VANCOUVER, BC",ROOFTOP,49.2724414,-123.1894442
272,South Vancouver Neighbourhood House,Leisure / Community Centres,General,Indoor,Public,,"6470 VICTORIA DR, VANCOUVER, BC",ROOFTOP,49.225528,-123.0653392
273,Russian Community Centre,Leisure / Community Centres,General,Indoor,Public,1.0,"2114 W 4TH AVE, VANCOUVER, BC",ROOFTOP,49.2679037,-123.1533575
274,Kiwassa Neighbourhood House,Leisure / Community Centres,General,Indoor,Public,,"2425 OXFORD ST, VANCOUVER, BC",ROOFTOP,49.2859829,-123.0555911
275,Peretz Centre for Secular Jewish Culture,Leisure / Community Centres,General,Indoor,Public,,"6184 ASH ST, VANCOUVER, BC",ROOFTOP,49.2289108,-123.1175858
276,OAC Hall,Leisure / Community Centres,General,Indoor,Public,,"5350 BAILLIE ST, VANCOUVER, BC",ROOFTOP,49.23712380000001,-123.1217818
277,Slocan Community Hall,Leisure / Community Centres,General,Indoor,Public,1.0,"2750 E 29TH AVE, VANCOUVER, BC",GEOMETRIC_CENTER,49.2439952,-123.0474133
278,Vancouver Curling Club,Ice,Curling,Indoor,Public,1.0,"4575 CLANCY LORANGER WAY, VANCOUVER, BC",ROOFTOP,49.2442998,-123.1076556
279,Vancouver Family Connections,Leisure / Community Centres,General,Indoor,Public,,"2425 OXFORD ST, VANCOUVER, BC",ROOFTOP,49.2859829,-123.0555911
280,Polish Community Centre,Leisure / Community Centres,General,Indoor,Public,,"4015 FRASER ST, VANCOUVER, BC",ROOFTOP,49.2490708,-123.090514
281,Korean Community Centre,Leisure / Community Centres,General,Indoor,Public,,"1320 E HASTINGS ST, VANCOUVER, BC",ROOFTOP,49.2811709,-123.07671
282,Marpole Neighbourhood House,Leisure / Community Centres,General,Indoor,Public,,"8585 HUDSON ST, VANCOUVER, BC",RANGE_INTERPOLATED,49.2085343,-123.1343769
283,Downtown Eastside Women's Centre,Leisure / Community Centres,General,Indoor,Public,,"302 COLUMBIA ST, VANCOUVER, BC",ROOFTOP,49.2821393,-123.1020496
284,South Hill Neighbourhood Centre,Leisure / Community Centres,General,Indoor,Public,,"5888 FRASER ST, VANCOUVER, BC",ROOFTOP,49.23136,-123.0904089
285,West End Rink,Ice,Single surface,Indoor,Public,,"1750 HARO ST, VANCOUVER, BC",ROOFTOP,49.290205,-123.1363811
286,Cloverdale Curling Rink,Ice,Curling,Indoor,Public,,"6150 176 STREET, SURREY, BC",ROOFTOP,49.1142347,-122.7343301
287,South Surrey Indoor Pool,Aquatics,25m pool with or without other pools,Indoor,Public,,"14655 17 AVE, SURREY, BC",ROOFTOP,49.0333255,-122.8157273
290,Bridgeview Community Centre,Leisure / Community Centres,General,Both,Public,,"11475 126A ST, SURREY, BC",ROOFTOP,49.2112504,-122.8717627
292,Newton Recreation Centre,Aquatics,25m pool with or without other pools,Indoor,Public,,"13730 72 AVE, SURREY, BC",ROOFTOP,49.13288,-122.8420851
296,Grandview Heights Aquatic Centre,Aquatics,50m+ pool with or without other pools,Indoor,Public,,"16855 24 AVE, SURREY, BC",ROOFTOP,49.0461582,-122.7555516
299,Surrey Sport & Leisure Complex,Aquatics,50m+ pool with or without other pools,Indoor,Public,,"16555 FRASER HWY #100, SURREY, BC",,0.0,0.0
304,Guildford Recreation Centre,Aquatics,25m pool with or without other pools,Indoor,Public,,"15105 105 AVE, SURREY, BC",ROOFTOP,49.1935859,-122.8026847
308,Newton Arena,Ice,Single surface,Indoor,Public,,"7120 136B ST, SURREY, BC",ROOFTOP,49.1322298,-122.8434643
309,South Surrey Arena,Ice,Single surface,Indoor,Public,,"2199 148 ST, SURREY, BC",ROOFTOP,49.0413799,-122.812665
310,Excellent Ice,Ice,2+ surfaces,Indoor,Public,1.0,"15000 54A AVE, SURREY, BC",ROOFTOP,49.1012476,-122.8076873
311,Cloverdale Skating Club,Ice,Single surface,Indoor,Public,1.0,"6090 176 ST, SURREY, BC",ROOFTOP,49.1132463,-122.7342012
312,North Surrey Sport & Ice Complex,Ice,2+ surfaces,Indoor,Public,,"10950 126A ST, SURREY, BC",ROOFTOP,49.1481612,-122.8720549
314,South Surrey Recreation and Arts Centre,Leisure / Community Centres,General,Indoor,Public,,"14601 20 AVE, SURREY, BC",ROOFTOP,49.0398213,-122.8186066
317,Fraser Heights Recreation Centre,Leisure / Community Centres,General,Indoor,Public,,"10588 160 ST, SURREY, BC",ROOFTOP,49.1949992,-122.7771404
320,Chuck Bailey Recreation Centre,Leisure / Community Centres,General,Indoor,Public,,"13458 107A AVE, SURREY, BC",ROOFTOP,49.1969064,-122.8493325
324,Cloverdale Recreation Centre,Leisure / Community Centres,General,Indoor,Public,,"6188 176 ST, SURREY, BC",ROOFTOP,49.1152228,-122.7341399
327,Don Christian Recreation Centre,Leisure / Community Centres,General,Indoor,Public,,"6220 184 ST, SURREY, BC",ROOFTOP,49.11536599999999,-122.712288
328,Fleetwood Community Centre,Leisure / Community Centres,General,Indoor,Public,,"15996 84 AVE, SURREY, BC",ROOFTOP,49.1552275,-122.7797924
331,Kensington Prairie Community Centre,Leisure / Community Centres,Youth,Indoor,Public,,"16824 32 AVE, SURREY, BC",ROOFTOP,49.0598683,-122.7553195
333,Clayton Hall,Leisure / Community Centres,General,Indoor,Public,,"18513 70 AVE, SURREY, BC",ROOFTOP,49.1300447,-122.7091312
334,The Tennis Centre,Physical Recreation & Sports,Tennis and/or pickleball courts ,Both,Public,,"5891 144 ST, SURREY, BC",ROOFTOP,49.109772,-122.8236
336,Sullivan's Community Hall,Leisure / Community Centres,General,Indoor,Public,,"6306 152 ST, SURREY, BC",ROOFTOP,49.1172743,-122.8005288
337,Sunnyside Community Hall,Leisure / Community Centres,General,Indoor,Public,,"1845 154 ST, SURREY, BC",ROOFTOP,49.0358069,-122.7961525
338,Newton Youth Hub,Leisure / Community Centres,Youth,Indoor,Public,,"13479 76 AVE #114, SURREY, BC",,0.0,0.0
