address,CMANAME,CSDNAME,Facility name,URL,Facility Type,Facility Sub-type,Exposure,Ownership Type,Civic #,Street name,Street Type,Unit/block,City name,Province,Postal Code,Longitude (X),Latitude (Y),Source description/comment,Unnamed: 19,lat,lon
901 Kimberly Ave. MB,,Winnipeg,Terry Sawchuk Arena,https://winnipeg.ca/cms/recreation/programs/skating.stm#skateSchedule,Ice,Single surface,Indoor,Public,,,,,,,,,,,,49.9174838,-97.0710213
"909 Concordia Avenue, MB",,Winnipeg,Elmwood Kildonans ,https://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/elmwood_kildonan.stm,Aquatics,25m pool with or without other pools,Indoor,Public,,,,,,,,,,,,49.9157667,-97.0727862
"909 Concordia Avenue, MB",,Winnipeg,Elmwood Kildonans,https://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/elmwood_kildonan.stm,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,,49.9157667,-97.0727862
"910 Maginot St., MB",,Winnipeg,Maginot Arena,https://winnipeg.ca/cms/recreation/programs/skating.stm#skateSchedule,Ice,Single surface,Indoor,Public,,,,,,,,,,,,49.8729913,-97.0800691
"960 Arlington St, Winnipeg, MB",,Winnipeg,Burton Cummings Community Centre,https://web.winnipeg-chamber.com/COMMUNITY-CENTRES/Burton-Cummings-Community-Centre-1679,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.9060924,-97.1670661
"980 Palmerston Ave, Winnipeg, MB",,Winnipeg,Robert A. Steen Memorial Community Centre,http://robertasteencc.ca/facility-rental/,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.876965,-97.1731932
"980 Palmerston Ave, Winnipeg, MB",,Winnipeg,Robert A. Steen Memorial Community Centre,http://robertasteencc.ca/facility-rental/,Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,,49.876965,-97.1731932
"980 Winakwa Rd, Winnipeg, MB",,Winnipeg,Winakwa Community Centre,https://winakwacc.ca/services,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.8634714,-97.0742782
"980 Winakwa Rd, Winnipeg, MB",,Winnipeg,Winakwa Community Centre,https://winakwacc.ca/services,Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,,49.8634714,-97.0742782
"980 Winakwa Rd, Winnipeg, MB",,Winnipeg,Winakwa Community Centre,https://winakwacc.ca/services,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,,49.8634714,-97.0742782
"980 Winakwa Rd, Winnipeg, MB",,Winnipeg,Winakwa Community Centre,https://winakwacc.ca/services,Physical Recreation & Sports,Tennis and/or pickleball courts ,Indoor,Public,,,,,,,,,,,,49.8634714,-97.0742782
"980 Winakwa Rd, Winnipeg, MB",,Winnipeg,Central Corydon Community Centre - Crescentwood Site,https://corydoncc.com/facilities/crescentwood-facilities/,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.8634714,-97.0742782
"983 MB-26, Saint François Xavier, MB",,St. François Xavier,St. Francois Xavier Community Club,http://www.sfxcc.com/programs-1.html,Physical Recreation & Sports,Tennis and/or pickleball courts ,Indoor,Public,,,,,,,,,,,,49.9103155,-97.5356359
