address,CMANAME,CSDNAME,Facility name,URL,Facility Type,Facility Sub-Type,Exposure,Ownership Type,Civic #,Street name,Street Type,Unit/block,City name,Province,Postal Code,Longitude (X),Latitude (Y),Facility Notes/Comments,Address Notes/Comments,lat,lon
"230 Boulevard Arthur-Sauve, Saint-Eustache, QC",,Saint-Eustache,Complexe Aquatique Saint-Eustache,https://www.saint-eustache.ca/citoyens-sport-et-plein-air-installations-sportives-et-de-loisirs/complexe-aquatique-saint-eustache,Aquatics,Spray parks / splash pads,Indoor,Public,,,,,,,,,,,,45.5607575,-73.8963362
"230 Boulevard Arthur-Sauve, Saint-Eustache, QC",,Saint-Eustache,Complexe Aquatique Saint-Eustache,https://www.saint-eustache.ca/citoyens-sport-et-plein-air-installations-sportives-et-de-loisirs/complexe-aquatique-saint-eustache,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,,45.5607575,-73.8963362
"230 Boulevard Arthur-Sauve, Saint-Eustache, QC",,Saint-Eustache,Complexe Aquatique Saint-Eustache,https://www.saint-eustache.ca/citoyens-sport-et-plein-air-installations-sportives-et-de-loisirs/complexe-aquatique-saint-eustache,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,45.5607575,-73.8963362
"230 Brunswick Blvd, Pointe-Claire, QC",,Pointe-Claire,Les YMCA du Quebec - Ouest-de-L'Ile ,https://www.ymcaquebec.org/en/Find-a-Y/West-Island-YMCA,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,45.4680577,-73.8268922
"230 Brunswick Blvd, Pointe-Claire, QC",,Pointe-Claire,Les YMCA du Quebec - Ouest-de-L'Ile ,https://www.ymcaquebec.org/en/Find-a-Y/West-Island-YMCA,Aquatics,25m pool with or without other pools,Indoor,Public,,,,,,,,,,,,45.4680577,-73.8268922
"230 Brunswick Blvd, Pointe-Claire, QC",,Pointe-Claire,Les YMCA du Quebec - Ouest-de-L'Ile ,https://www.ymcaquebec.org/en/Find-a-Y/West-Island-YMCA,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,,45.4680577,-73.8268922
"230 Brunswick Blvd, Pointe-Claire, QC",,Pointe-Claire,Les YMCA du Quebec - Ouest-de-L'Ile ,https://www.ymcaquebec.org/en/Find-a-Y/West-Island-YMCA,Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,,45.4680577,-73.8268922
"230 Brunswick Blvd, Pointe-Claire, QC",,Pointe-Claire,Les YMCA du Quebec - Ouest-de-L'Ile ,https://www.ymcaquebec.org/en/Find-a-Y/West-Island-YMCA,Physical Recreation & Sports,Running tracks (track and field),Indoor,Public,,,,,,,,,,,,45.4680577,-73.8268922
"230 Brunswick Blvd, Pointe-Claire, QC",,Pointe-Claire,Les YMCA du Quebec - Ouest-de-L'Ile ,https://www.ymcaquebec.org/en/Find-a-Y/West-Island-YMCA,Physical Recreation & Sports,"Racquet courts (squash, racquetball, badminton)",Indoor,Public,,,,,,,,,,,,45.4680577,-73.8268922
"231 Rue Brillon, Beloeil, QC",,Beloeil,Centre de Femmes L'Essentielle,http://www.cfessentielle.ca/,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,45.5710265,-73.2035259
"2345 Boulevard Thimens, Saint-Laurent, QC",,Montréal,Arena Raymond-Bourque ,"http://ville.montreal.qc.ca/portal/page?_pageid=7937,86793719&_dad=portal&_schema=PORTAL",Ice,Single surface,Indoor,Public,,,,,,,,,,,,45.5077087,-73.7013079
"235 Boul Labelle, Rosemere, QC",,Rosemère,Centre Sportif Rosemere,https://centresportifrosemere.com/,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,,45.6239208,-73.8051208
