Source_URL,PR_CPC_ABBR,CMA_Name,CSDName,Facility_Name,address,google_type,google_latitude,google_longitude
https://www.h2okelowna.ca/H2O-Adventure-Fitness/Home,BC,Kelowna,Kelowna,H2O Adventure + Fitness Centre,"4075 Gordon Dr, Kelowna, BC",ROOFTOP,49.83787239999999,-119.4809499
https://www.h2okelowna.ca/H2O-Adventure-Fitness/Home,BC,Kelowna,Kelowna,H2O Adventure + Fitness Centre,"4075 Gordon Dr, Kelowna, BC",ROOFTOP,49.83787239999999,-119.4809499
https://www.h2okelowna.ca/H2O-Adventure-Fitness/Home,BC,Kelowna,Kelowna,H2O Adventure + Fitness Centre,"4075 Gordon Dr, Kelowna, BC",ROOFTOP,49.83787239999999,-119.4809499
https://www.ymcaokanagan.ca/Join-the-YMCA,BC,Kelowna,Kelowna,Kelowna Family YMCA,"375 Hartman Rd, Kelowna, BC ",ROOFTOP,49.8984056,-119.3818894
https://www.ymcaokanagan.ca/Join-the-YMCA,BC,Kelowna,Kelowna,Kelowna Family YMCA,"375 Hartman Rd, Kelowna, BC ",ROOFTOP,49.8984056,-119.3818894
https://www.ymcaokanagan.ca/Join-the-YMCA,BC,Kelowna,Kelowna,Kelowna Family YMCA,"375 Hartman Rd, Kelowna, BC ",ROOFTOP,49.8984056,-119.3818894
https://www.ymcaokanagan.ca/Join-the-YMCA,BC,Kelowna,Kelowna,Kelowna Family YMCA,"375 Hartman Rd, Kelowna, BC ",ROOFTOP,49.8984056,-119.3818894
https://www.ymcaokanagan.ca/Join-the-YMCA,BC,Kelowna,Kelowna,Kelowna Family YMCA,"375 Hartman Rd, Kelowna, BC ",ROOFTOP,49.8984056,-119.3818894
https://www.kelowna.ca/parks-recreation/recreation/recreation-facilities/parkinson-recreation-centre,BC,Kelowna,Kelowna,Parkinson Recreation Centre,"1800 Parkinson Way, Kelowna, BC ",ROOFTOP,49.884,-119.459
https://www.kelowna.ca/parks-recreation/recreation/recreation-facilities/parkinson-recreation-centre,BC,Kelowna,Kelowna,Parkinson Recreation Centre,"1800 Parkinson Way, Kelowna, BC ",ROOFTOP,49.884,-119.459
https://www.kelowna.ca/parks-recreation/recreation/recreation-facilities/parkinson-recreation-centre,BC,Kelowna,Kelowna,Parkinson Recreation Centre,"1800 Parkinson Way, Kelowna, BC ",ROOFTOP,49.884,-119.459
https://www.kelowna.ca/parks-recreation/recreation/recreation-facilities/parkinson-recreation-centre,BC,Kelowna,Kelowna,Parkinson Recreation Centre,"1800 Parkinson Way, Kelowna, BC ",ROOFTOP,49.884,-119.459
https://www.kelowna.ca/parks-recreation/recreation/recreation-facilities/parkinson-recreation-centre,BC,Kelowna,Kelowna,Parkinson Recreation Centre,"1800 Parkinson Way, Kelowna, BC ",ROOFTOP,49.884,-119.459
https://www.ymcaokanagan.ca/Locations/Kelowna/Kelowna-Downtown-YMCA,BC,Kelowna,Kelowna,Kelowna Downtown YMCA,"1011-505 Doyle Ave, Kelowna, BC ",ROOFTOP,49.8888651,-119.4926748
https://www.ymcaokanagan.ca/Locations/Kelowna/Kelowna-Downtown-YMCA,BC,Kelowna,Kelowna,Kelowna Downtown YMCA,"1011-505 Doyle Ave, Kelowna, BC ",ROOFTOP,49.8888651,-119.4926748
https://www.energyplex.ca/,BC,Kelowna,Kelowna,Energyplex Family Recreation Centre Kelowna,"948 McCurdy Rd, Kelowna, BC ",ROOFTOP,49.902888,-119.4048485
