Source_URL,PR_CPC_ABBR,CMA_Name,CSDName,Facility_Name,address
https://www.kelowna.ca/parks-recreation/recreation-facilities/cedar-creek-community-centre,BC,Kelowna,Kelowna,Cedar Creek Community Centre,"5160 Chute Lake Rd, Kelowna, BC"
http://kelownaunited.com/wp-content/uploads/2014/04/Dome-Brochure-2014-151.pdf,BC,Kelowna,Kelowna,Kelowna United Mission Soccer Dome,"4075 Gordon Drive, Kelowna, BC"
https://www.kelowna.ca/parks-recreation/recreation-facilities/okanagan-mission-activity-centre,BC,Kelowna,Kelowna,Okanagan Mission Activity Centre,"4398 Hobson Rd, Kelowna, BC"
https://www.kelowna.ca/parks-recreation/recreation-facilities/okanagan-mission-activity-centre,BC,Kelowna,Kelowna,Okanagan Mission Activity Centre,"4398 Hobson Rd, Kelowna, BC"
http://prosperaplace.com/contact/,BC,Kelowna,Kelowna,Prospera Place,"1223 Water Street, Kelowna, BC"
https://www.boysandgirlsclubs.ca/club-location/central-okanagan/kelowna/#ages-6-12,BC,Kelowna,Kelowna,Okanagan Boys & Girls Clubs ,"355 Hartman Road, Kelowna, BC"
https://www.boysandgirlsclubs.ca/find-your-club/,BC,Kelowna,Kelowna,Martin Avenue Community Centre,"1434 Graham St, Kelowna, BC"
http://www.okmissionhall.net/about-us.html,BC,Kelowna,Kelowna,Okanagan Mission Community Hall Association,"4409 Lakeshore Road, Kelowna BC"
https://www.ellisonhall.ca/,BC,Kelowna,Kelowna,Ellison Community Hall,"4411 Old Vernon Rd, Kelowna, BC"
https://eastkelownahall.com/contact/,BC,Kelowna,Kelowna,East Kelowna Hall,"2704 East Kelowna Road, Kelowna, BC "
https://www.rutlandcentennialhall.com/index.php/contact-us,BC,Kelowna,Kelowna,Rutland Centennial Hall,"215 Shepherd Road Kelowna, BC"
https://www.westkelownacity.ca/en/parks-recreation-and-culture/jim-lind-arena.aspx,BC,Kelowna,West Kelowna,Jim Lind Arena,"2760 Cameron Rd, West Kelowna, BC "
https://www.ultimatehockeycentre.ca/,BC,Kelowna,West Kelowna,Ultimate Hockey Centre,"1322 Stevens Rd, West Kelowna, BC "
https://www.westkelownacity.ca/en/parks-recreation-and-culture/royal-lepage-place-arena.aspx,BC,Kelowna,West Kelowna,Royal LePage Place Arena,"2760 Cameron Rd, West Kelowna, BC "
https://www.westkelownacity.ca/en/parks-recreation-and-culture/royal-lepage-place-arena.aspx,BC,Kelowna,West Kelowna,Royal LePage Place Arena,"2760 Cameron Rd, West Kelowna, BC "
https://www.westkelownacity.ca/en/parks-recreation-and-culture/johnson-bentley-aquatic-centre.aspx,BC,Kelowna,West Kelowna,Johnson Bentley Memorial Aquatic Centre,"3737 Old Okanagan Hwy, West Kelowna, BC "
https://www.westkelownacity.ca/en/parks-recreation-and-culture/johnson-bentley-aquatic-centre.aspx,BC,Kelowna,West Kelowna,Johnson Bentley Memorial Aquatic Centre,"3737 Old Okanagan Hwy, West Kelowna, BC "
