CMANAME,CSDNAME,Facility name,URL,Full address,Facility Type,Facility Sub-Type,Exposure,Ownership Type,Civic #,Street name,Unit/block,City name,Province,Postal Code,Longitude (X),Latitude (Y),Facility Comments/Notes,Address Comments/Notes
,,Kerrisdale Community Centre,https://vancouver.ca/parks-recreation-culture/kerrisdale-community-centre.aspx,"5851 West Blvd, Vancouver, BC V6M 3W9",Aquatics,25m pool with or without other pools,Indoor,Public,5851,West Boulevard,,Vancouver,BC,V6M 3W9,,,"community centre with youth and seniors centre, playground, gym, fitness, pool",
,,Killarney Community Centre,https://vancouver.ca/parks-recreation-culture/killarney-community-centre.aspx,"6260 Killarney St, Vancouver, BC V5S 2X7",Leisure / Community Centres,General,Both,Public,6260,Killarney Street,,Vancouver,BC,V5S 2X7,,,"community centre with programs for children and seniors, gym, fitness, pool, ice rink, tennis, playground",
,,Killarney Community Centre,https://vancouver.ca/parks-recreation-culture/killarney-community-centre.aspx,"6260 Killarney St, Vancouver, BC V5S 2X7",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,6260,Killarney Street,,Vancouver,BC,V5S 2X7,,,"community centre with programs for children and seniors, gym, fitness, pool, ice rink, tennis, playground",
,,Killarney Community Centre,https://vancouver.ca/parks-recreation-culture/killarney-community-centre.aspx,"6260 Killarney St, Vancouver, BC V5S 2X7",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,6260,Killarney Street,,Vancouver,BC,V5S 2X7,,,"community centre with programs for children and seniors, gym, fitness, pool, ice rink, tennis, playground",
,,Killarney Community Centre,https://vancouver.ca/parks-recreation-culture/killarney-community-centre.aspx,"6260 Killarney St, Vancouver, BC V5S 2X7",Aquatics,25m pool with or without other pools,Indoor,Public,6260,Killarney Street,,Vancouver,BC,V5S 2X7,,,"community centre with programs for children and seniors, gym, fitness, pool, ice rink, tennis, playground",
,,Killarney Community Centre,https://vancouver.ca/parks-recreation-culture/killarney-community-centre.aspx,"6260 Killarney St, Vancouver, BC V5S 2X7",Ice,Single surface,Indoor,Public,6260,Killarney Street,,Vancouver,BC,V5S 2X7,,,"community centre with programs for children and seniors, gym, fitness, pool, ice rink, tennis, playground",
,,Creekside Community Recreation Centre,https://vancouver.ca/parks-recreation-culture/creekside-community-recreation-centre.aspx,"1 Athletes Way, Vancouver, BC V5Y 0B1",Leisure / Community Centres,General,Indoor,Public,1,Athletes Way,,Vancouver,BC,V5Y 0B1,,,"community centre, fitness, gym",
,,Creekside Community Recreation Centre,https://vancouver.ca/parks-recreation-culture/creekside-community-recreation-centre.aspx,"1 Athletes Way, Vancouver, BC V5Y 0B1",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,1,Athletes Way,,Vancouver,BC,V5Y 0B1,,,"community centre, fitness, gym",
,,Creekside Community Recreation Centre,https://vancouver.ca/parks-recreation-culture/creekside-community-recreation-centre.aspx,"1 Athletes Way, Vancouver, BC V5Y 0B1",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,1,Athletes Way,,Vancouver,BC,V5Y 0B1,,,"community centre, fitness, gym",
,,Britannia Centre,https://www.britanniacentre.org/facilities.php,"1661 Napier St, Vancouver, BC V5L 4X4",Leisure / Community Centres,General,Both,Public,1661,Napier Street,,Vancouver,BC,V5L 4X4,,,"community centre with programs for children, youth, adults, 55+, pool, ice rink, fitness, gym, sports fields, tennis, running track",
,,Britannia Centre,https://www.britanniacentre.org/facilities.php,"1661 Napier St, Vancouver, BC V5L 4X4",Aquatics,25m pool with or without other pools,Indoor,Public,1661,Napier Street,,Vancouver,BC,V5L 4X4,,,"community centre with programs for children, youth, adults, 55+, pool, ice rink, fitness, gym, sports fields, tennis, running track",
,,Britannia Centre,https://www.britanniacentre.org/facilities.php,"1661 Napier St, Vancouver, BC V5L 4X4",Aquatics,Leisure / wading pools,Indoor,Public,1661,Napier Street,,Vancouver,BC,V5L 4X4,,,"community centre with programs for children, youth, adults, 55+, pool, ice rink, fitness, gym, sports fields, tennis, running track",
,,Britannia Centre,https://www.britanniacentre.org/facilities.php,"1661 Napier St, Vancouver, BC V5L 4X4",Ice,Single surface,Indoor,Public,1661,Napier Street,,Vancouver,BC,V5L 4X4,,,"community centre with programs for children, youth, adults, 55+, pool, ice rink, fitness, gym, sports fields, tennis, running track",
,,Britannia Centre,https://www.britanniacentre.org/facilities.php,"1661 Napier St, Vancouver, BC V5L 4X4",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,1661,Napier Street,,Vancouver,BC,V5L 4X4,,,"community centre with programs for children, youth, adults, 55+, pool, ice rink, fitness, gym, sports fields, tennis, running track",
,,Britannia Centre,https://www.britanniacentre.org/facilities.php,"1661 Napier St, Vancouver, BC V5L 4X4",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,1661,Napier Street,,Vancouver,BC,V5L 4X4,,,"community centre with programs for children, youth, adults, 55+, pool, ice rink, fitness, gym, sports fields, tennis, running track",
