CMANAME,CSDNAME,Facility name,URL,Full address,Facility Type,Facility Sub-type,Exposure,Ownership Type,Civic #,Street name,Street Type,Unit/block,City name,Province,Postal Code,Longitude (X),Latitude (Y),Source description/comment,
,Winnipeg,North Kildonan Community Centre,http://nkcc.ca/,"1144 Kingsford Pl, Winnipeg, MB",Physical Recreation & Sports,Sport fields,Indoor,Public,,,,,,,,,,,
,Winnipeg,North Kildonan Community Centre,http://nkcc.ca/,"1144 Kingsford Pl, Winnipeg, MB",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,
,Winnipeg,North Kildonan Community Centre,http://nkcc.ca/,"1144 Kingsford Pl, Winnipeg, MB",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,
,Winnipeg,Champlain Community Centre,https://champlaincc.ca/contact/,"282 Niverville Ave, Winnipeg, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Winnipeg,Champlain Community Centre,https://champlaincc.ca/contact/,"282 Niverville Ave, Winnipeg, MB",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,
,Winnipeg,Champlain Community Centre,https://champlaincc.ca/contact/,"282 Niverville Ave, Winnipeg, MB",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,
,Winnipeg,Tuxedo Community Centre,https://www.tuxedocc.ca/,"368 Southport Blvd, Winnipeg, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Winnipeg,Tuxedo Community Centre,https://www.tuxedocc.ca/,"368 Southport Blvd, Winnipeg, MB",Physical Recreation & Sports,Tennis and/or pickleball courts ,Indoor,Public,,,,,,,,,,,
,Winnipeg,Tuxedo Community Centre,https://www.tuxedocc.ca/,"368 Southport Blvd, Winnipeg, MB",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,
,Winnipeg,Westridge Community Centre - Whyte Ridge Site,http://whyteridge.ca/wp-cc/contact-us/,"170 Fleetwood Rd, Winnipeg, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Winnipeg,Westridge Community Centre - Whyte Ridge Site,http://whyteridge.ca/wp-cc/contact-us/,"170 Fleetwood Rd, Winnipeg, MB",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,
,Winnipeg,East Elmwood Community Centre,http://eastelmwoodcc.ca/contact-us/,"490 Keenleyside Street, Winnipeg, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Winnipeg,East Elmwood Community Centre,http://eastelmwoodcc.ca/contact-us/,"490 Keenleyside Street, Winnipeg, MB",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,
,Winnipeg,East Elmwood Community Centre,http://eastelmwoodcc.ca/contact-us/,"490 Keenleyside Street, Winnipeg, MB",Physical Recreation & Sports,Tennis and/or pickleball courts ,Indoor,Public,,,,,,,,,,,
,Winnipeg,South Transcona Community Centre,https://www.southtransconacc.com/contact-us,"124 Borden Ave, Winnipeg, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Winnipeg,South Transcona Community Centre,https://www.southtransconacc.com/contact-us,"124 Borden Ave, Winnipeg, MB",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,
,Winnipeg,Oxford Heights Community Centre,http://oxfordheights.pointstreaksites.com/view/oxfordheights/hall-rentals,"359 Dowling Ave E, Winnipeg, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Winnipeg,Oxford Heights Community Centre,http://oxfordheights.pointstreaksites.com/view/oxfordheights/hall-rentals,"359 Dowling Ave E, Winnipeg, MB",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,
,Winnipeg,Oxford Heights Community Centre,http://oxfordheights.pointstreaksites.com/view/oxfordheights/hall-rentals,"359 Dowling Ave E, Winnipeg, MB",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,
,Winnipeg,Red River Community Centre,https://www.redrivercommunitycentre.ca/contact,"293 Murray Ave, Winnipeg, Mb",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Winnipeg,Red River Community Centre,https://www.redrivercommunitycentre.ca/contact,"293 Murray Ave, Winnipeg, Mb",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,
,Winnipeg,Varsity View Community Centre - Sportsplex,https://varsityview.org/hall-rental/,"4230 Ridgewood Ave, Winnipeg, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Winnipeg,Varsity View Community Centre - Sportsplex,https://varsityview.org/hall-rental/,"4230 Ridgewood Ave, Winnipeg, MB",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,
,Winnipeg,Tyndall Park Community Centre,http://www.tyndallparkcc.com/Basketball.html,"2255 King Edward St, Winnipeg, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Winnipeg,Tyndall Park Community Centre,http://www.tyndallparkcc.com/Basketball.html,"2255 King Edward St, Winnipeg, MB",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,
,Winnipeg,Roblin Park Community Centre,http://roblinpark.mb.ca/home,"640 Pepperloaf Cres,  Winnipeg, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Winnipeg,Garden City Community Centre,https://www.gardencitycc.com/arena/info,"725 Kingsbury Ave, Winnipeg, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Winnipeg,Garden City Community Centre,https://www.gardencitycc.com/arena/info,"725 Kingsbury Ave, Winnipeg, MB",Ice,2+ surfaces,Indoor,Public,,,,,,,,,,,
,Winnipeg,Garden City Community Centre,https://www.gardencitycc.com/arena/info,"725 Kingsbury Ave, Winnipeg, MB",Physical Recreation & Sports,Running tracks (track and field),Indoor,Public,,,,,,,,,,,
,Winnipeg,Garden City Community Centre,https://www.gardencitycc.com/arena/info,"725 Kingsbury Ave, Winnipeg, MB",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,
,Winnipeg,Garden City Community Centre,https://www.gardencitycc.com/arena/info,"725 Kingsbury Ave, Winnipeg, MB",Physical Recreation & Sports,Sport fields,Indoor,Public,,,,,,,,,,,
,Winnipeg,Bourkevale Community Centre,http://www.mybourkevale.com/p/hall-bookings.html,"100 Ferry Rd, Winnipeg, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Winnipeg,Bord-Aire Community Centre,https://www.facebook.com/BordAire/,"471 Hampton St, Winnipeg, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Winnipeg,Greendell Community Centre,http://greendellparkcc.pointstreaksites.com/view/greendellparkcc/programs/greendell-badminton,"75 Woodlawn Ave, Winnipeg,MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Winnipeg,Greendell Community Centre,http://greendellparkcc.pointstreaksites.com/view/greendellparkcc/programs/greendell-badminton,"75 Woodlawn Ave, Winnipeg,MB",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,
,Winnipeg,Greendell Community Centre,http://greendellparkcc.pointstreaksites.com/view/greendellparkcc/programs/greendell-badminton,"75 Woodlawn Ave, Winnipeg,MB",Physical Recreation & Sports,"Racquet courts (squash, racquetball, badminton)",Indoor,Public,,,,,,,,,,,
,Winnipeg,Greendell Community Centre,http://greendellparkcc.pointstreaksites.com/view/greendellparkcc/programs/greendell-badminton,"75 Woodlawn Ave, Winnipeg,MB",Physical Recreation & Sports,Tennis and/or pickleball courts ,Indoor,Public,,,,,,,,,,,
,Winnipeg,Greendell Community Centre,http://greendellparkcc.pointstreaksites.com/view/greendellparkcc/programs/greendell-badminton,"75 Woodlawn Ave, Winnipeg,MB",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,
,Winnipeg,Windsor Community Centre,http://windsorcc.ca/?page_id=62,"99 Springside Dr, Winnipeg, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Winnipeg,Windsor Community Centre,http://windsorcc.ca/?page_id=62,"99 Springside Dr, Winnipeg, MB",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,
,Winnipeg,Windsor Community Centre,http://windsorcc.ca/?page_id=62,"99 Springside Dr, Winnipeg, MB",Physical Recreation & Sports,Sport fields,Indoor,Public,,,,,,,,,,,
,Winnipeg,Windsor Community Centre,http://windsorcc.ca/?page_id=62,"99 Springside Dr, Winnipeg, MB",Physical Recreation & Sports,"Racquet courts (squash, racquetball, badminton)",Indoor,Public,,,,,,,,,,,
,Winnipeg,Maples Community Centre - James Nisbett site,http://maplescc.ca/,"70 Doubleday Dr, Winnipeg, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Winnipeg,Maples Community Centre - James Nisbett site,http://maplescc.ca/,"70 Doubleday Dr, Winnipeg, MB",Ice,Single surface,Indoor,Public,,,,,,,,,,,
,Winnipeg,Maples Community Centre - James Nisbett site,http://maplescc.ca/,"70 Doubleday Dr, Winnipeg, MB",Physical Recreation & Sports,Sport fields,Indoor,Public,,,,,,,,,,,
,Winnipeg,Maples Community Centre - James Nisbett site,http://maplescc.ca/,"70 Doubleday Dr, Winnipeg, MB",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,
,Winnipeg,Sir John Franklin Community Centre,https://corydoncc.com/facilities/sir-john-franklin-facilities/,"1 Sir John Franklin Rd, Winnipeg, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Winnipeg,Westridge Community Centre,https://www.facebook.com/Westridgecommcenter/,"3 Marshall Cres, Winnipeg, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Winnipeg,Luxton Community Centre,https://luxtoncc.org/facilities/hall-rental/,"210 St Cross St, Winnipeg, MB",Leisure / Community Centres,,Indoor,Public,,,,,,,,,,,
,Winnipeg,Central Corydon CC- River Heights site,https://corydoncc.com/facilities/river-heights-facilities/,"1370 Grosvenor Ave, Winnipeg, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Winnipeg,Central Corydon CC- River Heights site,https://corydoncc.com/facilities/river-heights-facilities/,"1370 Grosvenor Ave, Winnipeg, MB",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,
,Winnipeg,Park City West Community Centre,http://pcwcc.pointstreaksites.com/view/pcwcc/contact-us-1,"115 Sanford Fleming Rd, Winnipeg, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Winnipeg,Park City West Community Centre,http://pcwcc.pointstreaksites.com/view/pcwcc/contact-us-1,"115 Sanford Fleming Rd, Winnipeg, MB",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,
,Winnipeg,Valley Gardens Community Centre,https://www.google.ca/search?q=valley+Gardens+Community+Centre&oq=valley+Gardens+Community+Centre&aqs=chrome..69i57j69i59j69i60l3.3510j0j4&sourceid=chrome&ie=UTF-8,"218 Antrim Rd, Winnipeg, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Winnipeg,Northwood Community Centre,http://northwoodcc.ca/our-facilities.html,"1415 Burrows Ave, Winnipeg, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Winnipeg,Northwood Community Centre,http://northwoodcc.ca/our-facilities.html,"1415 Burrows Ave, Winnipeg, MB",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,
,Winnipeg,Weston Community Centre,https://www.google.ca/maps/uv?hl=en&pb=!1s0x52ea724d0fcb5df9%3A0xaa28fd68c9d44cec!3m1!7e115!4shttps%3A%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipMbf7LIjJ1srSEkYbtjLuspCD_IsopnDaoxXHch%3Dw213-h160-k-no!5sWeston%20Community%20Centre%20-%20Google%20Search&imagekey=!1e10!2sAF1QipPjXMG4w3lcPsx9NUNfm9OIVz2O3RTUjcagJFan&sa=X&ved=2ahUKEwjwiNDI9eznAhXig3IEHXSRAn0QoiowCnoECA4QBg,"1625 Logan Ave, Winnipeg, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Winnipeg,Weston Community Centre,https://www.google.ca/maps/uv?hl=en&pb=!1s0x52ea724d0fcb5df9%3A0xaa28fd68c9d44cec!3m1!7e115!4shttps%3A%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipMbf7LIjJ1srSEkYbtjLuspCD_IsopnDaoxXHch%3Dw213-h160-k-no!5sWeston%20Community%20Centre%20-%20Google%20Search&imagekey=!1e10!2sAF1QipPjXMG4w3lcPsx9NUNfm9OIVz2O3RTUjcagJFan&sa=X&ved=2ahUKEwjwiNDI9eznAhXig3IEHXSRAn0QoiowCnoECA4QBg,"1625 Logan Ave, Winnipeg, MB",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,
,Winnipeg,Norquay Community Centre,https://www.facebook.com/Norquaycc/,"65 Granville St, Winnipeg, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Winnipeg,Southdale Community Centre,http://www.southdale.ca/,"254 Lakewood Blvd, Winnipeg, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Winnipeg,Southdale Community Centre,http://www.southdale.ca/,"254 Lakewood Blvd, Winnipeg, MB",Ice,Single surface,Indoor,Public,,,,,,,,,,,
,Winnipeg,Valour Community Centre - Isaac Brock site,http://valourcc.ca/facilities/isaac-brock/,"715 Telfer St N, Winnipeg, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
