Facility_ID,Facility_Name,STC Standard Civic Address
2726,Morgan Firestone Arena,"385 JERSEYVILLE RD W, ANCASTER, ON"
2727,Westoby - Olympic Arena,"70 OLYMPIC DR, DUNDAS, ON"
2728,Parkdale Pat Quinn Arena,"1770 MAIN ST E, HAMILTON, ON"
2729,Rosedale Arena,"100 GREENHILL AVE, HAMILTON, ON"
2730,Saltfleet Arena,"24 SHERWOOD PARK RD, HAMILTON, ON"
2731,Spring Valley Arena,"29 ORCHARD DR, ANCASTER, ON"
2732,Stoney Creek Arena,"37 KING ST W, STONEY CREEK, ON"
2733,Mohawk 4 Ice Centre,"710 MOUNTAIN BROW BLVD, HAMILTON, ON"
2734,Wentworth Arenas Inc,"1249 WILSON ST E, HAMILTON, ON"
2736,Grainger Training Centre,"7-398 NASH RD N, HAMILTON, ON"
2737,Hamilton Victoria Curling Club,"568 KING ST E, HAMILTON, ON"
2738,Glanford Curling Club,"3091 HOMESTEAD DR, HAMILTON, ON"
2739,St. Joseph's Villa Pool,"56 GOVERNOR'S RD, DUNDAS, ON"
2740,Hamilton Downtown Family YMCA,"79 JAMES ST S, HAMILTON, ON"
2745,Les Chater Family YMCA,"356 RYMAL RD E, HAMILTON, ON"
2750,Eastmount Community Centre,"115 E 26TH ST, HAMILTON, ON"
2751,Eva Rothwell Centre,"460 WENTWORTH ST N, HAMILTON, ON"
2752,Sackville Hill Seniors Recreation Centre,"780 UPPER WENTWORTH ST, HAMILTON, ON"
2753,Montcalm Community House,"45 MONTCALM DR, HAMILTON, ON"
2754,Sherman Boys & Girls Club,"705 MAIN ST E, HAMILTON, ON"
2755,Binbrook Memorial Hall,"2600 HAMILTON REGIONAL RD 56, BINBROOK, ON"
2756,Delena Neighbourhood Centre,"93 DELENA AVE N, HAMILTON, ON"
2757,Dundas Learning Centre,"15 BALDWIN ST, DUNDAS, ON"
2758,FirstOntario Centre,"101 YORK BLVD, HAMILTON, ON"
2759,Warden Seniors Club,"1655 BARTON ST E, HAMILTON, ON"
2761,Hamilton Tennis Club,"257 DUKE ST, HAMILTON, ON"
2762,Rosedale Tennis Club,"42 LAWRENCE RD, HAMILTON, ON"
2763,Ancaster Tennis Club,"291 LODOR ST, ANCASTER, ON"
2764,Ancaster Fitness & Racquet Club,"754 SHAVER RD, ANCASTER, ON"
2766,Inflow Bike and Skatepark,"1 HEAD ST, DUNDAS, ON"
2767,Dundas Valley Golf & Curling Club Ltd.,"10 WOODLEYS LN, DUNDAS, ON"
2769,Copetown Community Centre,"1950 GOVERNORS RD, DUNDAS, ON"
2770,Welcome Inn Community Centre,"40 WOOD ST E, HAMILTON, ON"
2771,Ancaster Seniors Achievement Centre,"622 ALBERTON ROAD SOUTH, ALBERTON"
2772,Flamborough Seniors Centre,"163 DUNDAS STREET EAST, WATERDOWN"
2773,YWCA Hamilton - MacNab St. Active Living Centre,"75 MACNAB STREET SOUTH, HAMILTON"
2774,YWCA Hamilton - Sir Winston Churchill Active Living Centre,"1715 MAIN STREET EAST, HAMILTON"
2775,Appleby Ice Centre,"1201 APPLEBY LINE, BURLINGTON, ON"
2776,Burlington Pond Hockey Training Centre,"8-845 HARRINGTON CT, BURLINGTON, ON"
2777,Stoneridge Ice Centre,"1179 NORTHSIDE RD, BURLINGTON, ON"
2778,Gateway Ice Centre,"610 S SERVICE RD, STONEY CREEK, ON"
2780,Aldershot Pool,"50 FAIRWOOD PL W, BURLINGTON, ON"
2781,Angela Coughlan Swimming Pool,"2425 UPPER MIDDLE RD, BURLINGTON, ON"
2782,Mountainside Community Centre,"2205 MOUNT FOREST DR, BURLINGTON, ON"
2784,Burlington Centennial Pool,"5151 NEW ST, BURLINGTON, ON"
2785,Nelson Arena,"4235 NEW ST, BURLINGTON, ON"
2786,Brant Hills Community Centre,"2255 BRANT ST, BURLINGTON, ON"
2788,Burlington Seniors' Centre,"2285 NEW ST, BURLINGTON, ON"
2789,Haber Community Centre,"3040 TIM DOBBIE DR, BURLINGTON, ON"
2791,Central Recreation Centre,"519 DRURY LN, BURLINGTON, ON"
2792,Aldershot Tennis Club,"1071 GALLAGHER RD, BURLINGTON, ON"
2793,Burlington Fitness & Racquet Club,"1233 DILLON RD, BURLINGTON, ON"
2796,Burlington Tennis Club,"501 DRURY LN, BURLINGTON, ON"
2797,Skateboard & Inline Skate School,"5270 FAIRVIEW ST, BURLINGTON, ON"
2798,Our Community Cares,"356 BURLOAK DR, BURLINGTON, ON"
2799,Ella Foote Hall,"2175 BLESSINGTON ST, BURLINGTON, ON"
2800,Tansley Woods Community Centre,"1996 ITABASHI WAY, BURLINGTON, ON"
2804,Wave Sports Centre,"5065 BENSON DR, BURLINGTON, ON"
2805,Aldershot Arena,"494 TOWNSEND AVE, BURLINGTON, ON"
2806,Center Ice Training Academy,"5041 FAIRVIEW ST, BURLINGTON, ON"
2807,Burlington Curling Club,"2295 NEW ST, BURLINGTON, ON"
2808,Goldfish Swim School,"3060 DAVIDSON CT UNIT 1006, BURLINGTON, ON"
2809,Ron Edwards Family YMCA,"500 DRURY LN, BURLINGTON, ON"
2814,Sherwood Forest Gymnasium,"5270 FAIRVIEW ST, BURLINGTON, ON"
2815,Mainway Ice Centre,"4015 MAINWAY, BURLINGTON, ON"
2816,ActivityPlex Burlington,"3410 MAINWAY, BURLINGTON, ON"
2820,Skyway Arena,"129 KENWOOD AVE, BURLINGTON, ON"
2821,ACE Tennis,"960 CUMBERLAND AVE, BURLINGTON, ON"
2822,Next Door Social Space,"650 PLAINS RD E UNIT 2-3, BURLINGTON, ON"
2823,Nelson Community Centre,"4235 NEW ST, BURLINGTON, ON"
2824,Rotary Youth Centre,"560 GUELPH LINE, BURLINGTON"
2825,Grimsby Livingston Activity Centre,"18 LIVINGSTON AVE, GRIMSBY, ON"
2828,Mountain Ridge Community Centre,"103 MOUNTAIN RD, GRIMSBY, ON"
2829,Grimsby Peach King Centre,"162 LIVINGSTON AVE, GRIMSBY, ON"
2835,Grimsby Curling Club,"277 KERMAN AVE, GRIMSBY, ON"
2836,Niagara West YMCA,"325 MAIN STREET EAST, GRIMSBY, ON"
2842,Carnegie Building,"25 ADELAIDE ST, GRIMSBY, ON"
2843,Elizabeth St Pumphouse,"447 ELIZABETH ST, GRIMSBY, ON"
2844,Southward Community Park - Community Building,"84 MUD STREET EAST, GRIMSBY, ON"
2845,Cataraqui Community Centre,"1030 SUNNYSIDE RD, KINGSTON, ON"
2848,Centre 70 Arena,"100 DAYS RD, KINGSTON, ON"
